State,longitude,latitude,sunshine_category
NSW,148.375,-28.375,8
NSW,148.625,-28.375,8
NSW,148.875,-28.375,8
NSW,149.125,-28.375,8
NSW,149.375,-28.375,8
NSW,149.625,-28.375,8
NSW,149.875,-28.375,8
NSW,150.125,-28.375,8
NSW,150.375,-28.375,8
NSW,150.625,-28.375,8
NSW,150.875,-28.375,8
NSW,151.125,-28.375,7
NSW,151.375,-28.375,7
NSW,151.625,-28.375,7
NSW,151.875,-28.375,7
NSW,152.125,-28.375,7
NSW,152.375,-28.375,7
NSW,152.625,-28.375,7
NSW,152.875,-28.375,7
NSW,153.125,-28.375,7
NSW,153.375,-28.375,7
NSW,153.625,-28.375,7
NSW,153.875,-28.375,7
NSW,141.125,-28.625,8
NSW,141.375,-28.625,8
NSW,141.625,-28.625,8
NSW,141.875,-28.625,8
NSW,142.125,-28.625,8
NSW,142.375,-28.625,8
NSW,142.625,-28.625,8
NSW,142.875,-28.625,8
NSW,143.125,-28.625,8
NSW,143.375,-28.625,8
NSW,143.625,-28.625,8
NSW,143.875,-28.625,8
NSW,144.125,-28.625,8
NSW,144.375,-28.625,8
NSW,144.625,-28.625,8
NSW,144.875,-28.625,8
NSW,145.125,-28.625,8
NSW,145.375,-28.625,8
NSW,145.625,-28.625,8
NSW,145.875,-28.625,8
NSW,146.125,-28.625,8
NSW,146.375,-28.625,8
NSW,146.625,-28.625,8
NSW,146.875,-28.625,8
NSW,147.125,-28.625,8
NSW,147.375,-28.625,8
NSW,147.625,-28.625,8
NSW,147.875,-28.625,8
NSW,148.125,-28.625,8
NSW,148.375,-28.625,8
NSW,148.625,-28.625,8
NSW,148.875,-28.625,9
NSW,149.125,-28.625,8
NSW,149.375,-28.625,8
NSW,149.625,-28.625,8
NSW,149.875,-28.625,8
NSW,150.125,-28.625,8
NSW,150.375,-28.625,8
NSW,150.625,-28.625,8
NSW,150.875,-28.625,8
NSW,151.125,-28.625,7
NSW,151.375,-28.625,7
NSW,151.625,-28.625,7
NSW,151.875,-28.625,7
NSW,152.125,-28.625,7
NSW,152.375,-28.625,7
NSW,152.625,-28.625,7
NSW,152.875,-28.625,7
NSW,153.125,-28.625,7
NSW,153.375,-28.625,7
NSW,153.625,-28.625,7
NSW,153.875,-28.625,7
NSW,141.125,-28.875,8
NSW,141.375,-28.875,8
NSW,141.625,-28.875,8
NSW,141.875,-28.875,8
NSW,142.125,-28.875,8
NSW,142.375,-28.875,8
NSW,142.625,-28.875,8
NSW,142.875,-28.875,8
NSW,143.125,-28.875,8
NSW,143.375,-28.875,8
NSW,143.625,-28.875,8
NSW,143.875,-28.875,8
NSW,144.125,-28.875,8
NSW,144.375,-28.875,8
NSW,144.625,-28.875,8
NSW,144.875,-28.875,8
NSW,145.125,-28.875,8
NSW,145.375,-28.875,8
NSW,145.625,-28.875,8
NSW,145.875,-28.875,8
NSW,146.125,-28.875,8
NSW,146.375,-28.875,8
NSW,146.625,-28.875,8
NSW,146.875,-28.875,8
NSW,147.125,-28.875,8
NSW,147.375,-28.875,8
NSW,147.625,-28.875,8
NSW,147.875,-28.875,8
NSW,148.125,-28.875,8
NSW,148.375,-28.875,9
NSW,148.625,-28.875,9
NSW,148.875,-28.875,9
NSW,149.125,-28.875,9
NSW,149.375,-28.875,9
NSW,149.625,-28.875,8
NSW,149.875,-28.875,8
NSW,150.125,-28.875,8
NSW,150.375,-28.875,8
NSW,150.625,-28.875,8
NSW,150.875,-28.875,8
NSW,151.125,-28.875,7
NSW,151.375,-28.875,7
NSW,151.625,-28.875,7
NSW,151.875,-28.875,7
NSW,152.125,-28.875,7
NSW,152.375,-28.875,7
NSW,152.625,-28.875,7
NSW,152.875,-28.875,7
NSW,153.125,-28.875,7
NSW,153.375,-28.875,7
NSW,153.625,-28.875,7
NSW,153.875,-28.875,7
NSW,141.125,-29.125,8
NSW,141.375,-29.125,8
NSW,141.625,-29.125,8
NSW,141.875,-29.125,8
NSW,142.125,-29.125,8
NSW,142.375,-29.125,8
NSW,142.625,-29.125,8
NSW,142.875,-29.125,8
NSW,143.125,-29.125,8
NSW,143.375,-29.125,8
NSW,143.625,-29.125,8
NSW,143.875,-29.125,8
NSW,144.125,-29.125,8
NSW,144.375,-29.125,8
NSW,144.625,-29.125,8
NSW,144.875,-29.125,8
NSW,145.125,-29.125,8
NSW,145.375,-29.125,8
NSW,145.625,-29.125,8
NSW,145.875,-29.125,8
NSW,146.125,-29.125,8
NSW,146.375,-29.125,8
NSW,146.625,-29.125,8
NSW,146.875,-29.125,8
NSW,147.125,-29.125,8
NSW,147.375,-29.125,8
NSW,147.625,-29.125,8
NSW,147.875,-29.125,8
NSW,148.125,-29.125,8
NSW,148.375,-29.125,9
NSW,148.625,-29.125,9
NSW,148.875,-29.125,9
NSW,149.125,-29.125,9
NSW,149.375,-29.125,9
NSW,149.625,-29.125,9
NSW,149.875,-29.125,8
NSW,150.125,-29.125,8
NSW,150.375,-29.125,8
NSW,150.625,-29.125,8
NSW,150.875,-29.125,8
NSW,151.125,-29.125,7
NSW,151.375,-29.125,7
NSW,151.625,-29.125,7
NSW,151.875,-29.125,7
NSW,152.125,-29.125,7
NSW,152.375,-29.125,7
NSW,152.625,-29.125,7
NSW,152.875,-29.125,7
NSW,153.125,-29.125,7
NSW,153.375,-29.125,7
NSW,153.625,-29.125,7
NSW,153.875,-29.125,7
NSW,141.125,-29.375,8
NSW,141.375,-29.375,8
NSW,141.625,-29.375,8
NSW,141.875,-29.375,8
NSW,142.125,-29.375,8
NSW,142.375,-29.375,8
NSW,142.625,-29.375,8
NSW,142.875,-29.375,8
NSW,143.125,-29.375,8
NSW,143.375,-29.375,8
NSW,143.625,-29.375,8
NSW,143.875,-29.375,8
NSW,144.125,-29.375,8
NSW,144.375,-29.375,8
NSW,144.625,-29.375,8
NSW,144.875,-29.375,8
NSW,145.125,-29.375,8
NSW,145.375,-29.375,8
NSW,145.625,-29.375,8
NSW,145.875,-29.375,8
NSW,146.125,-29.375,8
NSW,146.375,-29.375,8
NSW,146.625,-29.375,8
NSW,146.875,-29.375,8
NSW,147.125,-29.375,8
NSW,147.375,-29.375,8
NSW,147.625,-29.375,8
NSW,147.875,-29.375,8
NSW,148.125,-29.375,9
NSW,148.375,-29.375,9
NSW,148.625,-29.375,9
NSW,148.875,-29.375,9
NSW,149.125,-29.375,9
NSW,149.375,-29.375,9
NSW,149.625,-29.375,9
NSW,149.875,-29.375,8
NSW,150.125,-29.375,8
NSW,150.375,-29.375,8
NSW,150.625,-29.375,8
NSW,150.875,-29.375,8
NSW,151.125,-29.375,7
NSW,151.375,-29.375,7
NSW,151.625,-29.375,7
NSW,151.875,-29.375,7
NSW,152.125,-29.375,7
NSW,152.375,-29.375,7
NSW,152.625,-29.375,7
NSW,152.875,-29.375,7
NSW,153.125,-29.375,7
NSW,153.375,-29.375,7
NSW,153.625,-29.375,7
NSW,153.875,-29.375,7
NSW,141.125,-29.625,8
NSW,141.375,-29.625,8
NSW,141.625,-29.625,8
NSW,141.875,-29.625,8
NSW,142.125,-29.625,8
NSW,142.375,-29.625,8
NSW,142.625,-29.625,8
NSW,142.875,-29.625,8
NSW,143.125,-29.625,8
NSW,143.375,-29.625,8
NSW,143.625,-29.625,8
NSW,143.875,-29.625,8
NSW,144.125,-29.625,8
NSW,144.375,-29.625,8
NSW,144.625,-29.625,8
NSW,144.875,-29.625,8
NSW,145.125,-29.625,8
NSW,145.375,-29.625,8
NSW,145.625,-29.625,8
NSW,145.875,-29.625,8
NSW,146.125,-29.625,8
NSW,146.375,-29.625,8
NSW,146.625,-29.625,8
NSW,146.875,-29.625,8
NSW,147.125,-29.625,8
NSW,147.375,-29.625,8
NSW,147.625,-29.625,8
NSW,147.875,-29.625,8
NSW,148.125,-29.625,9
NSW,148.375,-29.625,9
NSW,148.625,-29.625,9
NSW,148.875,-29.625,9
NSW,149.125,-29.625,9
NSW,149.375,-29.625,9
NSW,149.625,-29.625,8
NSW,149.875,-29.625,8
NSW,150.125,-29.625,8
NSW,150.375,-29.625,8
NSW,150.625,-29.625,8
NSW,150.875,-29.625,8
NSW,151.125,-29.625,7
NSW,151.375,-29.625,7
NSW,151.625,-29.625,7
NSW,151.875,-29.625,7
NSW,152.125,-29.625,7
NSW,152.375,-29.625,7
NSW,152.625,-29.625,7
NSW,152.875,-29.625,7
NSW,153.125,-29.625,7
NSW,153.375,-29.625,7
NSW,153.625,-29.625,7
NSW,153.875,-29.625,7
NSW,141.125,-29.875,8
NSW,141.375,-29.875,8
NSW,141.625,-29.875,8
NSW,141.875,-29.875,8
NSW,142.125,-29.875,8
NSW,142.375,-29.875,8
NSW,142.625,-29.875,8
NSW,142.875,-29.875,8
NSW,143.125,-29.875,8
NSW,143.375,-29.875,8
NSW,143.625,-29.875,8
NSW,143.875,-29.875,8
NSW,144.125,-29.875,8
NSW,144.375,-29.875,8
NSW,144.625,-29.875,8
NSW,144.875,-29.875,8
NSW,145.125,-29.875,8
NSW,145.375,-29.875,8
NSW,145.625,-29.875,8
NSW,145.875,-29.875,8
NSW,146.125,-29.875,8
NSW,146.375,-29.875,8
NSW,146.625,-29.875,8
NSW,146.875,-29.875,8
NSW,147.125,-29.875,8
NSW,147.375,-29.875,8
NSW,147.625,-29.875,8
NSW,147.875,-29.875,8
NSW,148.125,-29.875,8
NSW,148.375,-29.875,9
NSW,148.625,-29.875,9
NSW,148.875,-29.875,9
NSW,149.125,-29.875,9
NSW,149.375,-29.875,9
NSW,149.625,-29.875,8
NSW,149.875,-29.875,8
NSW,150.125,-29.875,8
NSW,150.375,-29.875,8
NSW,150.625,-29.875,8
NSW,150.875,-29.875,8
NSW,151.125,-29.875,7
NSW,151.375,-29.875,7
NSW,151.625,-29.875,7
NSW,151.875,-29.875,7
NSW,152.125,-29.875,7
NSW,152.375,-29.875,7
NSW,152.625,-29.875,7
NSW,152.875,-29.875,7
NSW,153.125,-29.875,7
NSW,153.375,-29.875,7
NSW,153.625,-29.875,7
NSW,153.875,-29.875,7
NSW,141.125,-30.125,8
NSW,141.375,-30.125,8
NSW,141.625,-30.125,8
NSW,141.875,-30.125,8
NSW,142.125,-30.125,8
NSW,142.375,-30.125,8
NSW,142.625,-30.125,8
NSW,142.875,-30.125,8
NSW,143.125,-30.125,8
NSW,143.375,-30.125,8
NSW,143.625,-30.125,8
NSW,143.875,-30.125,8
NSW,144.125,-30.125,8
NSW,144.375,-30.125,8
NSW,144.625,-30.125,8
NSW,144.875,-30.125,8
NSW,145.125,-30.125,8
NSW,145.375,-30.125,8
NSW,145.625,-30.125,8
NSW,145.875,-30.125,8
NSW,146.125,-30.125,8
NSW,146.375,-30.125,8
NSW,146.625,-30.125,8
NSW,146.875,-30.125,8
NSW,147.125,-30.125,8
NSW,147.375,-30.125,8
NSW,147.625,-30.125,8
NSW,147.875,-30.125,8
NSW,148.125,-30.125,8
NSW,148.375,-30.125,8
NSW,148.625,-30.125,8
NSW,148.875,-30.125,8
NSW,149.125,-30.125,8
NSW,149.375,-30.125,8
NSW,149.625,-30.125,8
NSW,149.875,-30.125,8
NSW,150.125,-30.125,8
NSW,150.375,-30.125,8
NSW,150.625,-30.125,8
NSW,150.875,-30.125,7
NSW,151.125,-30.125,7
NSW,151.375,-30.125,7
NSW,151.625,-30.125,7
NSW,151.875,-30.125,7
NSW,152.125,-30.125,7
NSW,152.375,-30.125,7
NSW,152.625,-30.125,7
NSW,152.875,-30.125,7
NSW,153.125,-30.125,7
NSW,153.375,-30.125,7
NSW,153.625,-30.125,7
NSW,153.875,-30.125,7
NSW,141.125,-30.375,8
NSW,141.375,-30.375,8
NSW,141.625,-30.375,8
NSW,141.875,-30.375,8
NSW,142.125,-30.375,8
NSW,142.375,-30.375,8
NSW,142.625,-30.375,8
NSW,142.875,-30.375,8
NSW,143.125,-30.375,8
NSW,143.375,-30.375,8
NSW,143.625,-30.375,8
NSW,143.875,-30.375,8
NSW,144.125,-30.375,8
NSW,144.375,-30.375,8
NSW,144.625,-30.375,8
NSW,144.875,-30.375,9
NSW,145.125,-30.375,9
NSW,145.375,-30.375,9
NSW,145.625,-30.375,9
NSW,145.875,-30.375,9
NSW,146.125,-30.375,9
NSW,146.375,-30.375,8
NSW,146.625,-30.375,8
NSW,146.875,-30.375,8
NSW,147.125,-30.375,8
NSW,147.375,-30.375,8
NSW,147.625,-30.375,8
NSW,147.875,-30.375,8
NSW,148.125,-30.375,8
NSW,148.375,-30.375,8
NSW,148.625,-30.375,8
NSW,148.875,-30.375,8
NSW,149.125,-30.375,8
NSW,149.375,-30.375,8
NSW,149.625,-30.375,8
NSW,149.875,-30.375,8
NSW,150.125,-30.375,8
NSW,150.375,-30.375,8
NSW,150.625,-30.375,8
NSW,150.875,-30.375,7
NSW,151.125,-30.375,7
NSW,151.375,-30.375,7
NSW,151.625,-30.375,7
NSW,151.875,-30.375,7
NSW,152.125,-30.375,7
NSW,152.375,-30.375,7
NSW,152.625,-30.375,7
NSW,152.875,-30.375,7
NSW,153.125,-30.375,7
NSW,153.375,-30.375,7
NSW,153.625,-30.375,7
NSW,153.875,-30.375,7
NSW,141.125,-30.625,8
NSW,141.375,-30.625,8
NSW,141.625,-30.625,8
NSW,141.875,-30.625,8
NSW,142.125,-30.625,8
NSW,142.375,-30.625,8
NSW,142.625,-30.625,8
NSW,142.875,-30.625,8
NSW,143.125,-30.625,8
NSW,143.375,-30.625,8
NSW,143.625,-30.625,8
NSW,143.875,-30.625,8
NSW,144.125,-30.625,8
NSW,144.375,-30.625,8
NSW,144.625,-30.625,9
NSW,144.875,-30.625,9
NSW,145.125,-30.625,9
NSW,145.375,-30.625,9
NSW,145.625,-30.625,9
NSW,145.875,-30.625,9
NSW,146.125,-30.625,9
NSW,146.375,-30.625,9
NSW,146.625,-30.625,8
NSW,146.875,-30.625,8
NSW,147.125,-30.625,8
NSW,147.375,-30.625,8
NSW,147.625,-30.625,8
NSW,147.875,-30.625,8
NSW,148.125,-30.625,8
NSW,148.375,-30.625,8
NSW,148.625,-30.625,8
NSW,148.875,-30.625,8
NSW,149.125,-30.625,8
NSW,149.375,-30.625,8
NSW,149.625,-30.625,8
NSW,149.875,-30.625,8
NSW,150.125,-30.625,8
NSW,150.375,-30.625,8
NSW,150.625,-30.625,7
NSW,150.875,-30.625,7
NSW,151.125,-30.625,7
NSW,151.375,-30.625,7
NSW,151.625,-30.625,7
NSW,151.875,-30.625,7
NSW,152.125,-30.625,7
NSW,152.375,-30.625,7
NSW,152.625,-30.625,7
NSW,152.875,-30.625,7
NSW,153.125,-30.625,7
NSW,153.375,-30.625,7
NSW,153.625,-30.625,7
NSW,153.875,-30.625,7
NSW,141.125,-30.875,8
NSW,141.375,-30.875,8
NSW,141.625,-30.875,8
NSW,141.875,-30.875,8
NSW,142.125,-30.875,8
NSW,142.375,-30.875,8
NSW,142.625,-30.875,8
NSW,142.875,-30.875,8
NSW,143.125,-30.875,8
NSW,143.375,-30.875,8
NSW,143.625,-30.875,8
NSW,143.875,-30.875,8
NSW,144.125,-30.875,8
NSW,144.375,-30.875,8
NSW,144.625,-30.875,9
NSW,144.875,-30.875,9
NSW,145.125,-30.875,9
NSW,145.375,-30.875,9
NSW,145.625,-30.875,9
NSW,145.875,-30.875,9
NSW,146.125,-30.875,9
NSW,146.375,-30.875,9
NSW,146.625,-30.875,8
NSW,146.875,-30.875,8
NSW,147.125,-30.875,8
NSW,147.375,-30.875,8
NSW,147.625,-30.875,8
NSW,147.875,-30.875,8
NSW,148.125,-30.875,8
NSW,148.375,-30.875,8
NSW,148.625,-30.875,8
NSW,148.875,-30.875,8
NSW,149.125,-30.875,8
NSW,149.375,-30.875,8
NSW,149.625,-30.875,8
NSW,149.875,-30.875,8
NSW,150.125,-30.875,8
NSW,150.375,-30.875,7
NSW,150.625,-30.875,7
NSW,150.875,-30.875,7
NSW,151.125,-30.875,7
NSW,151.375,-30.875,7
NSW,151.625,-30.875,7
NSW,151.875,-30.875,7
NSW,152.125,-30.875,7
NSW,152.375,-30.875,7
NSW,152.625,-30.875,7
NSW,152.875,-30.875,7
NSW,153.125,-30.875,7
NSW,153.375,-30.875,7
NSW,153.625,-30.875,7
NSW,153.875,-30.875,7
NSW,141.125,-31.125,7
NSW,141.375,-31.125,7
NSW,141.625,-31.125,7
NSW,141.875,-31.125,7
NSW,142.125,-31.125,8
NSW,142.375,-31.125,8
NSW,142.625,-31.125,8
NSW,142.875,-31.125,8
NSW,143.125,-31.125,8
NSW,143.375,-31.125,8
NSW,143.625,-31.125,8
NSW,143.875,-31.125,8
NSW,144.125,-31.125,8
NSW,144.375,-31.125,9
NSW,144.625,-31.125,9
NSW,144.875,-31.125,9
NSW,145.125,-31.125,9
NSW,145.375,-31.125,9
NSW,145.625,-31.125,9
NSW,145.875,-31.125,9
NSW,146.125,-31.125,8
NSW,146.375,-31.125,8
NSW,146.625,-31.125,8
NSW,146.875,-31.125,8
NSW,147.125,-31.125,8
NSW,147.375,-31.125,8
NSW,147.625,-31.125,8
NSW,147.875,-31.125,8
NSW,148.125,-31.125,8
NSW,148.375,-31.125,8
NSW,148.625,-31.125,8
NSW,148.875,-31.125,8
NSW,149.125,-31.125,8
NSW,149.375,-31.125,8
NSW,149.625,-31.125,8
NSW,149.875,-31.125,7
NSW,150.125,-31.125,7
NSW,150.375,-31.125,7
NSW,150.625,-31.125,7
NSW,150.875,-31.125,7
NSW,151.125,-31.125,7
NSW,151.375,-31.125,7
NSW,151.625,-31.125,7
NSW,151.875,-31.125,7
NSW,152.125,-31.125,7
NSW,152.375,-31.125,7
NSW,152.625,-31.125,7
NSW,152.875,-31.125,7
NSW,153.125,-31.125,7
NSW,153.375,-31.125,7
NSW,153.625,-31.125,7
NSW,153.875,-31.125,7
NSW,141.125,-31.375,7
NSW,141.375,-31.375,7
NSW,141.625,-31.375,7
NSW,141.875,-31.375,7
NSW,142.125,-31.375,7
NSW,142.375,-31.375,7
NSW,142.625,-31.375,8
NSW,142.875,-31.375,8
NSW,143.125,-31.375,8
NSW,143.375,-31.375,8
NSW,143.625,-31.375,8
NSW,143.875,-31.375,8
NSW,144.125,-31.375,8
NSW,144.375,-31.375,9
NSW,144.625,-31.375,9
NSW,144.875,-31.375,9
NSW,145.125,-31.375,9
NSW,145.375,-31.375,9
NSW,145.625,-31.375,8
NSW,145.875,-31.375,8
NSW,146.125,-31.375,8
NSW,146.375,-31.375,8
NSW,146.625,-31.375,8
NSW,146.875,-31.375,8
NSW,147.125,-31.375,8
NSW,147.375,-31.375,8
NSW,147.625,-31.375,8
NSW,147.875,-31.375,8
NSW,148.125,-31.375,8
NSW,148.375,-31.375,8
NSW,148.625,-31.375,8
NSW,148.875,-31.375,8
NSW,149.125,-31.375,8
NSW,149.375,-31.375,7
NSW,149.625,-31.375,7
NSW,149.875,-31.375,7
NSW,150.125,-31.375,7
NSW,150.375,-31.375,7
NSW,150.625,-31.375,7
NSW,150.875,-31.375,7
NSW,151.125,-31.375,7
NSW,151.375,-31.375,7
NSW,151.625,-31.375,7
NSW,151.875,-31.375,7
NSW,152.125,-31.375,7
NSW,152.375,-31.375,7
NSW,152.625,-31.375,7
NSW,152.875,-31.375,7
NSW,153.125,-31.375,7
NSW,153.375,-31.375,7
NSW,153.625,-31.375,7
NSW,153.875,-31.375,7
NSW,141.125,-31.625,7
NSW,141.375,-31.625,7
NSW,141.625,-31.625,7
NSW,141.875,-31.625,7
NSW,142.125,-31.625,7
NSW,142.375,-31.625,7
NSW,142.625,-31.625,7
NSW,142.875,-31.625,8
NSW,143.125,-31.625,8
NSW,143.375,-31.625,8
NSW,143.625,-31.625,8
NSW,143.875,-31.625,8
NSW,144.125,-31.625,8
NSW,144.375,-31.625,8
NSW,144.625,-31.625,8
NSW,144.875,-31.625,8
NSW,145.125,-31.625,8
NSW,145.375,-31.625,8
NSW,145.625,-31.625,8
NSW,145.875,-31.625,8
NSW,146.125,-31.625,8
NSW,146.375,-31.625,8
NSW,146.625,-31.625,8
NSW,146.875,-31.625,8
NSW,147.125,-31.625,8
NSW,147.375,-31.625,8
NSW,147.625,-31.625,8
NSW,147.875,-31.625,8
NSW,148.125,-31.625,8
NSW,148.375,-31.625,8
NSW,148.625,-31.625,8
NSW,148.875,-31.625,8
NSW,149.125,-31.625,7
NSW,149.375,-31.625,7
NSW,149.625,-31.625,7
NSW,149.875,-31.625,7
NSW,150.125,-31.625,7
NSW,150.375,-31.625,7
NSW,150.625,-31.625,7
NSW,150.875,-31.625,7
NSW,151.125,-31.625,7
NSW,151.375,-31.625,7
NSW,151.625,-31.625,7
NSW,151.875,-31.625,7
NSW,152.125,-31.625,7
NSW,152.375,-31.625,7
NSW,152.625,-31.625,7
NSW,152.875,-31.625,7
NSW,153.125,-31.625,7
NSW,153.375,-31.625,7
NSW,153.625,-31.625,7
NSW,153.875,-31.625,7
NSW,141.125,-31.875,7
NSW,141.375,-31.875,7
NSW,141.625,-31.875,7
NSW,141.875,-31.875,7
NSW,142.125,-31.875,7
NSW,142.375,-31.875,7
NSW,142.625,-31.875,7
NSW,142.875,-31.875,7
NSW,143.125,-31.875,8
NSW,143.375,-31.875,8
NSW,143.625,-31.875,8
NSW,143.875,-31.875,8
NSW,144.125,-31.875,8
NSW,144.375,-31.875,8
NSW,144.625,-31.875,8
NSW,144.875,-31.875,8
NSW,145.125,-31.875,8
NSW,145.375,-31.875,8
NSW,145.625,-31.875,8
NSW,145.875,-31.875,8
NSW,146.125,-31.875,8
NSW,146.375,-31.875,8
NSW,146.625,-31.875,8
NSW,146.875,-31.875,8
NSW,147.125,-31.875,8
NSW,147.375,-31.875,8
NSW,147.625,-31.875,8
NSW,147.875,-31.875,8
NSW,148.125,-31.875,8
NSW,148.375,-31.875,8
NSW,148.625,-31.875,8
NSW,148.875,-31.875,7
NSW,149.125,-31.875,7
NSW,149.375,-31.875,7
NSW,149.625,-31.875,7
NSW,149.875,-31.875,7
NSW,150.125,-31.875,7
NSW,150.375,-31.875,7
NSW,150.625,-31.875,7
NSW,150.875,-31.875,7
NSW,151.125,-31.875,7
NSW,151.375,-31.875,7
NSW,151.625,-31.875,7
NSW,151.875,-31.875,7
NSW,152.125,-31.875,7
NSW,152.375,-31.875,7
NSW,152.625,-31.875,7
NSW,152.875,-31.875,7
NSW,153.125,-31.875,7
NSW,153.375,-31.875,7
NSW,153.625,-31.875,7
NSW,153.875,-31.875,7
NSW,141.125,-32.125,7
NSW,141.375,-32.125,7
NSW,141.625,-32.125,7
NSW,141.875,-32.125,7
NSW,142.125,-32.125,7
NSW,142.375,-32.125,7
NSW,142.625,-32.125,7
NSW,142.875,-32.125,7
NSW,143.125,-32.125,7
NSW,143.375,-32.125,8
NSW,143.625,-32.125,8
NSW,143.875,-32.125,8
NSW,144.125,-32.125,8
NSW,144.375,-32.125,8
NSW,144.625,-32.125,8
NSW,144.875,-32.125,8
NSW,145.125,-32.125,8
NSW,145.375,-32.125,8
NSW,145.625,-32.125,8
NSW,145.875,-32.125,8
NSW,146.125,-32.125,8
NSW,146.375,-32.125,8
NSW,146.625,-32.125,8
NSW,146.875,-32.125,8
NSW,147.125,-32.125,8
NSW,147.375,-32.125,8
NSW,147.625,-32.125,8
NSW,147.875,-32.125,8
NSW,148.125,-32.125,8
NSW,148.375,-32.125,8
NSW,148.625,-32.125,8
NSW,148.875,-32.125,7
NSW,149.125,-32.125,7
NSW,149.375,-32.125,7
NSW,149.625,-32.125,7
NSW,149.875,-32.125,7
NSW,150.125,-32.125,7
NSW,150.375,-32.125,7
NSW,150.625,-32.125,7
NSW,150.875,-32.125,7
NSW,151.125,-32.125,7
NSW,151.375,-32.125,7
NSW,151.625,-32.125,7
NSW,151.875,-32.125,7
NSW,152.125,-32.125,7
NSW,152.375,-32.125,7
NSW,152.625,-32.125,7
NSW,152.875,-32.125,7
NSW,153.125,-32.125,7
NSW,153.375,-32.125,7
NSW,153.625,-32.125,7
NSW,153.875,-32.125,7
NSW,141.125,-32.375,7
NSW,141.375,-32.375,7
NSW,141.625,-32.375,7
NSW,141.875,-32.375,7
NSW,142.125,-32.375,7
NSW,142.375,-32.375,7
NSW,142.625,-32.375,7
NSW,142.875,-32.375,7
NSW,143.125,-32.375,7
NSW,143.375,-32.375,8
NSW,143.625,-32.375,8
NSW,143.875,-32.375,8
NSW,144.125,-32.375,8
NSW,144.375,-32.375,8
NSW,144.625,-32.375,8
NSW,144.875,-32.375,8
NSW,145.125,-32.375,8
NSW,145.375,-32.375,8
NSW,145.625,-32.375,8
NSW,145.875,-32.375,8
NSW,146.125,-32.375,8
NSW,146.375,-32.375,8
NSW,146.625,-32.375,8
NSW,146.875,-32.375,8
NSW,147.125,-32.375,8
NSW,147.375,-32.375,8
NSW,147.625,-32.375,8
NSW,147.875,-32.375,8
NSW,148.125,-32.375,8
NSW,148.375,-32.375,7
NSW,148.625,-32.375,7
NSW,148.875,-32.375,7
NSW,149.125,-32.375,7
NSW,149.375,-32.375,7
NSW,149.625,-32.375,7
NSW,149.875,-32.375,7
NSW,150.125,-32.375,7
NSW,150.375,-32.375,7
NSW,150.625,-32.375,7
NSW,150.875,-32.375,7
NSW,151.125,-32.375,7
NSW,151.375,-32.375,7
NSW,151.625,-32.375,7
NSW,151.875,-32.375,7
NSW,152.125,-32.375,7
NSW,152.375,-32.375,7
NSW,152.625,-32.375,7
