LGA,Year,Solar_Installation
Naracoorte and Lucindale,2016,17
Naracoorte and Lucindale,2017,5
Naracoorte and Lucindale,2018,7
Naracoorte and Lucindale,2019,3
Naracoorte and Lucindale,2020,3
Naracoorte and Lucindale,2021,2
Naracoorte and Lucindale,2022,5
Northern Areas,2014,0
Northern Areas,2015,1
Northern Areas,2016,0
Northern Areas,2017,0
Northern Areas,2018,1
Northern Areas,2019,0
Northern Areas,2020,2
Northern Areas,2021,0
Northern Areas,2022,0
Onkaparinga,2014,75
Onkaparinga,2015,104
Onkaparinga,2016,68
Onkaparinga,2017,56
Onkaparinga,2018,43
Onkaparinga,2019,55
Onkaparinga,2020,41
Onkaparinga,2021,34
Onkaparinga,2022,44
Playford,2014,71
Playford,2015,128
Playford,2016,91
Playford,2017,73
Playford,2018,48
Playford,2019,43
Playford,2020,40
Playford,2021,33
Playford,2022,53
Port Adelaide Enfield,2014,156
Port Adelaide Enfield,2015,128
Port Adelaide Enfield,2016,130
Port Adelaide Enfield,2017,103
Port Adelaide Enfield,2018,42
Port Adelaide Enfield,2019,60
Port Adelaide Enfield,2020,35
Port Adelaide Enfield,2021,42
Port Adelaide Enfield,2022,40
Renmark Paringa,2014,3
Renmark Paringa,2015,0
Renmark Paringa,2016,0
Renmark Paringa,2017,1
Renmark Paringa,2018,1
Renmark Paringa,2019,0
Renmark Paringa,2020,0
Renmark Paringa,2021,0
Renmark Paringa,2022,1
Salisbury,2014,41
Salisbury,2015,50
Salisbury,2016,39
Salisbury,2017,17
Salisbury,2018,18
Salisbury,2019,10
Salisbury,2020,9
Salisbury,2021,10
Salisbury,2022,14
Southern Mallee,2014,1
Southern Mallee,2015,0
Southern Mallee,2016,0
Southern Mallee,2017,1
Southern Mallee,2018,0
Southern Mallee,2019,0
Southern Mallee,2020,0
Southern Mallee,2021,0
Southern Mallee,2022,0
Tatiara,2014,0
Tatiara,2015,0
Tatiara,2016,0
Tatiara,2017,0
Tatiara,2018,0
Tatiara,2019,0
Tatiara,2020,1
Tatiara,2021,0
Tatiara,2022,0
Tea Tree Gully,2014,13
Tea Tree Gully,2015,17
Tea Tree Gully,2016,22
Tea Tree Gully,2017,25
Tea Tree Gully,2018,19
Tea Tree Gully,2019,13
Tea Tree Gully,2020,10
Tea Tree Gully,2021,11
Tea Tree Gully,2022,9
The Coorong,2014,0
The Coorong,2015,0
The Coorong,2016,0
The Coorong,2017,0
The Coorong,2018,1
The Coorong,2019,1
The Coorong,2020,0
The Coorong,2021,0
The Coorong,2022,0
Wakefield,2014,3
Wakefield,2015,1
Wakefield,2016,1
Wakefield,2017,0
Wakefield,2018,1
Wakefield,2019,0
Wakefield,2020,0
Wakefield,2021,0
Wakefield,2022,0
Wattle Range,2014,0
Wattle Range,2015,0
